"id","name","energy_kcal","protein_g","fat_g","carb_g","fiber_g","calcium_mg","sodium_mg"
"105001","奶油",879,0.7,97,0.9,0,14,268
"105002","奶油 (焦克)",447,3,48.3,0,0,,41.1
"105003","奶油 （食品工业）",504,1.1,55.5,0,0,20,190.8
"105004","黄油",888,1.4,98,0,0,35,40.3
"105005","黄油渣",599,11.1,43.8,40,0,597,60.2
"105006","白脱（食品工业）［牛油、 黄油]",744,,82.7,0,0,1,18
"105007","酥油",860,1.5,94.4,1.1,0,,73
"105008","奶油",785,1.1,86,1.7,0,2,1.7
"105009","酥油",718,0.7,74.9,10.3,0,26,26
"105010","酥油茶 (原味)",465,3,17.7,73.3,0,27,265
"109001","炼乳(甜，罐头)",332,8,8.7,55.4,0,242,
"109002","奶皮子",460,12.2,42.9,6.3,0,818,4
"109003","奶片",472,13.3,20.2,59.3,0,269,356
"109004","全脂甜炼乳 (雀巢)",380,7.5,10,64.9,0,,308
"109005","全脂甜炼乳(燕山牌)",374,8.2,10,62.8,0,,428
"109006","脱脂甜炼乳",275,10.3,0.2,58,0,,520
"109007","蛋白粉（益力健乳铁乳清 蛋白粉）",425,50,12.5,28,,,
"109008","牛初乳奶片（纽瑞滋牛初",347,27,4.5,49.5,,,450
"109009","乳咀嚼奶片) 奶渣",381,44.4,4.2,41.3,0,0.04,523
"102101x","全脂奶粉 (代表值）",482,19.9,22.3,50.5,79,513,65
"102101","全脂奶粉 (多维奶粉)",484,19.9,22.7,49.9,68,,22
"102103","全脂奶粉",478,20.1,21.2,51.7,,469,79
"102104","全脂奶粉 (速溶)",466,19.9,18.9,54,,659571,73
"102105","全脂奶粉(雀巢)",504,24,28,39,,930,
"102107","全脂奶粉（伊利牌）",504,22,26,45.5,,750,220.6
"102125","全脂奶粉(红星速溶加锌奶粉)",478,18.5,20.8,54.1,,680,500
"102126","全脂奶粉（欧世蒙牛多维 高钙高铁奶粉）",473,18.2,21.7,51.1,,864,280
"102127","全脂奶粉（雪花钙加锌调 制奶粉)",461,17,19,55.5,,1000,350
"102128","全脂奶粉（雪花高钙多维 调制奶粉）",484,19.5,22,52,,1000,390
"102130x","全脂甜奶粉 (代表值)",485,20.2,22.9,49.6,,558,353
"102131","全脂甜奶粉",490,22.5,23.4,47.4,,495,450.8
"102132","全脂甜奶粉 (伊利牌)",476,19,21,52.8,,620,184.1
"102133","全脂甜奶粉（飞鹤全脂甜乳粉）",479,20,23,48,,,500
"102134","全脂甜奶粉（红星速溶全 脂甜奶粉)",481,18.5,23,50,,,380
"102135","全脂甜奶粉（三元燕山牌 全脂甜奶粉）",500,21,24,50,,,250
"102150x","低脂奶粉(代表值，高钙高铁)",425,23.7,11.9,55.9,,1365,378.5
"102151","低脂奶粉(高钙高铁，雀巢)",413,27,11.7,50,,1745,
"102152","低脂奶粉(高钙高铁，伊利牌)",423,27,11,53.9,,1350,406.9
"102153","低脂奶粉(高钙高铁，可淇牌)",437,17,13,63,,1000,350
"102201","全脂奶粉 (全脂羊乳粉)",498,18.8,25.2,49,,,
"102211","驴奶粉（花麒牌，西域龙 驴奶粉）",442,20.1,12.4,62.4,,775,333
"102212","驴奶粉 (金驴龙奶）",416,14.8,8.2,70.8,,720,292
"102213","驴奶粉(源西域牌，冻干特质)",428,19.3,12.3,60,,449,114
"102221","驼奶粉（花麒牌，西域龙 驼奶粉）",528,20.23,43.4,,83,328,50
"102222","驼奶粉 (天山牧歌牌)",513,16.728,47.1,,47,463,52
"102223","驼奶粉（旺源牌，全脂驼 乳粉）",545,21.334,37,,66,519,53
"102301x","儿童配方奶粉 (代表值)",454,19,17.356,1.1,,493,50
"102302","儿童配方奶粉（安儿健 A+，美赞臣）",428,17.9,11.164,,,450,55
"102303","儿童配方奶粉（适体健， 美赞臣)",417,16.09,68,,,500,60
"102304","儿童配方奶粉 (惠氏)",451,17.015,62,,,450,59
"102305","儿童配方奶粉 (可淇牌)",457,17,17.059,,,425,40
"102306","儿童配方奶粉(完达山牌)",458,17.018,57,,,550,78
"102307","儿童配方奶粉（贝因美特 选幼童配方奶粉4阶段)",473,18.019,56.6,0.6,,,38
"102308","儿童配方奶粉（多美滋优 阶儿童配方奶粉）",406,19.61,59.4,,,521,61
"102309","儿童配方奶粉（惠氏金装 学儿乐学龄前儿童配方奶粉)",442,17.016,58.9,3,,405,53
"102310","儿童配方奶粉（美素佳儿 GOLD 金装儿童配方奶粉）",452,25.8,17.049,,,645,72
"102311","儿童配方奶粉（美赞臣安 儿健儿童配方奶粉）",434,20,12.063,3,,480,56
